약국명,상세주소,위도,경도,구이름
일등약국,서울특별시 종로구 경교장길 35,37.5681192,126.9665014,종로구
대풍약국,서울특별시 중구 동호로11길 43,37.553768,127.0092161,중구
수복약국,서울특별시 용산구 새창로12길 12,37.5378177,126.9562536,용산구
새인선약국,서울특별시 성동구 광나루로11길 41,37.5481349,127.0655063,성동구
더클래식약국,서울특별시 광진구 능동로 90,37.53833375,127.07090505,광진구
온누리강변프라자약국,서울특별시 광진구 광나루로56길 63,37.53781,127.09669,광진구
보림약국,서울특별시 동대문구 장한로 115,37.5787324,127.0722115,동대문구
건명약국,서울특별시 중랑구 면목로 421,37.5963518,127.0855162,중랑구
계산온누리약국,서울특별시 성북구 동소문로20길 43,37.5906526,127.0170248,성북구
온누리민우약국,서울특별시 성북구 돌곶이로22길 49,37.6107159,127.0606514,성북구
7번약국,서울특별시 강북구 도봉로 339,37.6410017,127.0289955,강북구
꿈이있는온누리약국,서울특별시 강북구 삼양로 462,37.6639607,127.0120877,강북구
은혜약국,서울특별시 도봉구 도봉로118길 11,37.6487416,127.0354443,도봉구
도봉온누리약국,서울특별시 도봉구 해등로 158,37.6580186,127.0329046,도봉구
진약국,서울특별시 노원구 노해로 452,37.6530482,127.0548642,노원구
새고운약국,서울특별시 노원구 동일로 1003,37.6242653,127.0734496,노원구
청룡중앙약국,서울특별시 은평구 가좌로 233,37.5937261,126.9136781,은평구
정문온누리약국,서울특별시 은평구 진흥로 196,37.6102473,126.9468443,은평구
대유약국,서울특별시 서대문구 모래내로 359,37.5812627,126.9354203,서대문구
정약국,서울특별시 서대문구 신촌로 109,37.5553748,126.9375073,서대문구
은하약국,서울특별시 서대문구 명지대3길 1,37.582635,126.9211963,서대문구
비온뒤숲속약국,서울특별시 마포구 월드컵로 111,37.5526465,126.911202,마포구
셀약국,서울특별시 마포구 양화로 72,37.5493865,126.9135335,마포구
남구로약국,서울특별시 구로구 구로동로 33,37.4943056,126.8829728,구로구
별장약국,서울특별시 금천구 금하로24길 40,37.4485744,126.9085843,금천구
세종로약국,서울특별시 영등포구 여의대방로 197,37.5097471,126.9241921,영등포구
씨에이(CA)정문약국,서울특별시 동작구 흑석로 108,37.5045929,126.9502965,동작구
뿌리약국,서울특별시 관악구 난우길 14,37.4732169,126.9189225,관악구
장수알파약국,서울특별시 서초구 서초중앙로 38,37.5042348,127.0106154,서초구
기린약국,서울특별시 서초구 잠원로 24,37.506936,127.0096856,서초구
제일그랜드약국,서울특별시 강남구 강남대로 478,37.5111721,127.0213861,강남구
노바약국,서울특별시 강남구 강남대로118길 51,37.5071061,127.0260796,강남구
시온약국,서울특별시 송파구 백제고분로27길 19,37.5045426,127.0931227,송파구
행복나무약국,서울특별시 강동구 천호대로157길 54,37.53898,127.12746,강동구
우리들약국,서울특별시 강동구 올림픽로 781,37.5385448,127.1234736,강동구
365열린약국,서울특별시 강서구 공항대로41길 52,37.560051599999994,126.8462395429282,강서구
